title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Personality,Lloyd Price,1959,3,"fun, charismatic, catchy","piano, horns, strong rhythm section, male vocals","R&B, pop","[Verse]
You got the smile, you got the charm  
You turn the heat without alarm  
When you walk, they stop and stare  
There's magic rising in the air  

[Chorus]
You got personality, style and soul  
Make the dullest day feel whole  
Can’t explain, it’s just you  
Every move, every groove you do  

[Verse]
When you laugh, the party starts  
You’ve got the keys to every heart  
You don’t need riches, don't need fame  
Just one word and they chant your name  

[Bridge]
You're the spark the night admires  
Setting off a thousand fires  

[Outro]
You got personality, loud and clear  
You're the reason I’m still here"
Venus,Frankie Avalon,1959,4,"romantic, dreamy, sincere","orchestral strings, male vocals","traditional pop, ballad","[Verse]
Venus, goddess from above  
Send me someone I can love  
With golden hair and eyes so kind  
Bring the love I long to find  

[Chorus]
Venus, hear this mortal plea  
Grant a heart that beats for me  
Send her down with stars and light  
Let her hold me every night  

[Verse]
I’ve waited long, I’ve dreamed in vain  
Let her ease this lonely pain  
She doesn’t need to rule or reign  
Just walk beside me through the rain  

[Bridge]
If your magic still is true  
Bring her soul, so bright and new  

[Outro]
Venus, let my wish be known  
Don't let me be alone"
Lonely Boy,Paul Anka,1959,5,"melancholic, heartfelt, nostalgic","piano, strings, soft male vocals","pop, ballad","[Verse]
I’m just a lonely boy  
Searching for a little joy  
She left one summer afternoon  
Now I hum a broken tune  

[Chorus]
Lonely boy, cry no more  
She’s gone through that swinging door  
But the stars above still glow  
And there’s more to love to know  

[Verse]
We danced to songs on old cafés  
Now I walk through empty days  
Each echo sounds like her goodbye  
But still I look up at the sky  

[Bridge]
If she comes back, I’ll be here  
With open arms and no more fear  

[Outro]
Till then I roam with quiet grace  
Just a lonely boy in time and space"
The Theme from 'A Summer Place',Percy Faith,1960,1,"romantic, serene, nostalgic","orchestral strings, soft horns, lush arrangement","instrumental pop, easy listening",
He'll Have to Go,Jim Reeves,1960,2,"heartfelt, longing, somber","baritone vocals, acoustic guitar, soft piano","country, traditional pop","[Verse]
Put your sweet lips a little closer to the phone  
Just pretend that we're together all alone  
Tell the man to turn the jukebox way down low  
And you can tell your friend there with you, he’ll have to go  

[Chorus]
He don’t know the things we’ve done  
All the love and all the fun  
But if your heart’s not truly mine  
Then don’t you cross that line  

[Bridge]
Though I whisper soft and low  
If you love him, then I’ll go  

[Outro]
But if you still want me so  
Just tell him he’ll have to go"
Cathy's Clown,The Everly Brothers,1960,3,"melancholic, regretful, soft","male vocal harmonies, gentle rhythm guitar","pop, rock and roll","[Verse]
Don't want your love anymore  
Every tear I cried hit the floor  
I used to smile when you came 'round  
But now I’m just Cathy’s clown  

[Chorus]
You laugh while I fall apart  
You pulled the strings around my heart  
I gave you all, you let me down  
Now I’m walking, Cathy’s clown  

[Bridge]
Fool me once, but never twice  
You took my love, you rolled the dice  

[Outro]
Now someone else can wear the crown  
But I won't be Cathy’s clown"
Running Bear,Johnny Preston,1960,4,"tragic, sentimental, narrative","narrative vocals, rock instrumentation, backing vocals","rock and roll, pop","[Verse]
On the banks of a river wide  
Lived a brave with tribal pride  
Across the stream, a maiden fair  
With jet-black eyes and long dark hair  

[Chorus]
Running Bear, he loved so true  
But fate would not let love come through  
They cried across the waters wide  
With hearts so torn they nearly died  

[Bridge]
The river roared and skies grew black  
They swam with no path back  

[Outro]
Now side by side beneath the tide  
Running Bear and his moonlight bride"
Teen Angel,Mark Dinning,1960,5,"sad, dramatic, emotional","male vocals, strings, slow tempo, tragic tone","teen tragedy, pop","[Verse]
Teen angel, can you hear me cry?  
You left so fast, no last goodbye  
The stars were out that fatal night  
When you drove off into the light  

[Chorus]
Teen angel, gone too soon  
Underneath the silver moon  
You saved my heart and paid the cost  
Now I must live with what I lost  

[Bridge]
I see your face in every dream  
Your voice returns like soft moonbeams  

[Outro]
Teen angel, my heart still bleeds  
For the girl who met my needs"
Tossin' and Turnin',Bobby Lewis,1961,1,"restless, lively, energetic","upbeat piano, saxophone, drums","rhythm and blues, early soul, pop","[Verse]
I couldn't sleep at all last night  
The clock ticked on till morning light  
I tossed and turned, couldn’t find peace  
Till I found your love’s release  

[Chorus]
Tossin’ and turnin’, night and day  
Wishin’ you would come my way  
Can’t rest when you're not near  
Only your voice can calm my fear  

[Verse]
The pillow’s cold, the room’s too still  
Your memory’s a sleeping pill  
I’d give the world for one more kiss  
To bring me back from nights like this  

[Bridge]
Tell me what I’ve got to do  
To bring my dreams back home with you  

[Outro]
Tossin’ and turnin’, through the night  
I need your love to make it right"
I Fall to Pieces,Patsy Cline and The Jordanaires,1961,2,"heartbroken, tender, sorrowful","female vocals, backing harmonies, steel guitar","country, pop ballad","[Verse]
I fall to pieces when you call my name  
Each word reminds me of the pain  
I try to stand, pretend I’m strong  
But your love lingers all night long  

[Chorus]
I fall to pieces, every time  
Your memory plays in my mind  
You walked away, now here I stay  
Crumbling slowly day by day  

[Verse]
I smile at strangers, laugh on cue  
But inside, I'm torn in two  
No one sees the cracks I hide  
Each piece of me lost with pride  

[Bridge]
Don’t come around unless you care  
I’ve got no more strength to spare  

[Outro]
I fall to pieces, just like before  
Still waiting by that open door"
Michael (Row the Boat Ashore),The Highwaymen,1961,3,"hopeful, folk, spiritual","acoustic guitar, male chorus, minimal percussion","folk, spiritual","[Verse]  
Michael, guide the boat tonight — hallelujah  
Through the stars and fading light — hallelujah  

[Verse]  
Winds are strong and waters wide — hallelujah  
But your voice will be our guide — hallelujah  

[Verse]  
Angels walk the ocean deep — hallelujah  
Singing low to those who weep — hallelujah  

[Verse]  
Every soul will find its shore — hallelujah  
When the storm can shake no more — hallelujah  

[Bridge]  
Hold the line and pull me through — hallelujah  
Michael, I put trust in you — hallelujah  

[Verse]  
Let the river wash me clean — hallelujah  
From all the hurt that I have seen — hallelujah  

[Outro]  
Michael, guide the boat tonight — hallelujah  
Bring us home to morning light — hallelujah  "
Crying,Roy Orbison,1961,4,"emotional, passionate, melancholic","falsetto vocals, orchestral backing","pop, rock ballad","[Verse]
I was all right for a while  
I could smile and fake the style  
But then you walked into the room  
And tears returned with full bloom  

[Chorus]
Crying, crying in the rain  
You’re the echo in my pain  
I tried to love and let you go  
But tears are all I seem to know  

[Verse]
They say time will mend the heart  
But I’ve been breaking from the start  
Your voice still plays like a song  
A lullaby where I belong  

[Bridge]
Don’t ask me why I fall apart  
You never really left my heart  

[Outro]
Crying, silently for you  
Like I always seem to do"
Runaway,Del Shannon,1961,5,"dramatic, anxious, unique","organ, echoing guitar, falsetto vocals","rock and roll, pop","[Verse]
As I walk down empty streets  
I hear the echo of your feet  
You ran from love, from all we knew  
Now I’m chasing ghosts of you  

[Chorus]
I’m a runaway from yesterday  
Lost in words you couldn’t say  
Every mile takes me back  
To the love I now lack  

[Verse]
The wind reminds me of your name  
I keep moving, but it’s the same  
No matter where I lay my head  
You're the voice inside my dread  

[Bridge]
I never thought you'd disappear  
Now I run from what I fear  

[Outro]
Runaway heart, runaway pain  
Still calling out your name"
Stranger on the Shore,Acker Bilk,1962,1,"gentle, melancholic, soothing","clarinet lead, soft strings, light rhythm section","instrumental pop, jazz",
I Can't Stop Loving You,Ray Charles,1962,2,"emotional, rich, nostalgic","orchestral backing, male vocals, piano","soul, country-pop","[Verse]
I can’t stop loving you, no matter how I try  
Your memory lingers like the endless sky  
The years go by, but your face stays the same  
And every breath I take calls your name  

[Chorus]
I can’t stop loving you  
Though my heart breaks right in two  
I made up my mind to live in the past  
Where our love would always last  

[Verse]
I tried to move on, I tried to forget  
But your voice is a song I haven’t left yet  
I walk through days in a painted smile  
But miss you more with every mile  

[Bridge]
They say let go, but I hold tight  
To all the love you brought to light  

[Outro]
I can’t stop loving you  
No matter what I do"
Mashed Potato Time,Dee Dee Sharp,1962,3,"playful, upbeat, danceable","female vocals, handclaps, funky rhythm","dance, R&B, pop","[Verse]
Everybody’s twistin’, now it’s my turn  
Got a brand new beat and a fire that burns  
The DJ’s spinning, crowd’s alive  
Come on and feel that jive  

[Chorus]
It’s mashed potato time  
We’re movin’ to that funky rhyme  
Kick your heels and swing your hips  
Let’s groove with every dip  

[Verse]
You don’t need rhythm, don’t need flair  
Just stomp your feet and toss your hair  
From left to right, now spin around  
Shake it down to the ground  

[Bridge]
Grab a partner, make a line  
We're gonna dance past time  

[Outro]
It’s mashed potato time  
And baby, you’re lookin’ fine"
Roses Are Red (My Love),Bobby Vinton,1962,4,"romantic, sentimental, sweet","male vocals, strings, slow tempo","traditional pop, ballad","[Verse]
Roses are red, violets are blue  
My heart wrote this just for you  
In every petal, there’s a line  
Of how I wish that you were mine  

[Chorus]
Roses are red, so is my heart  
Bleeding love since we’ve been apart  
You may forget, but I won’t change  
My love remains through joy and pain  

[Verse]
You sent a note, cold and brief  
But still I hold on to belief  
That one day soon, your love will bloom  
And fill the space inside my room  

[Bridge]
I fold the paper, read it twice  
Every word cuts like ice  

[Outro]
Roses are red, and so am I  
For loving you without goodbye"
The Stripper,David Rose,1962,5,"cheeky, seductive, jazzy","brass, jazz percussion, walking bass","instrumental, jazz, novelty",
